FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
1/21/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,MEXICO,MASCULINO,URBANA,MEXICO
1/21/22,,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO RESIDENCIAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
1/21/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/21/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
1/19/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/18/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,CHILE,MASCULINO,URBANA,CHILE
1/17/22,,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,PERU,MASCULINO,URBANA,PERU
1/17/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/17/22,,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/16/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/14/22,,MAGDALENA,CIÉNAGA,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
1/14/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/13/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/13/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/10/22,,MAGDALENA,CIÉNAGA,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/9/22,,META,VILLAVICENCIO (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/7/22,,GUAJIRA,URIBIA,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,RURAL,COLOMBIA
1/7/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,FEMENINO,URBANA,NO REGISTRA
1/7/22,,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
1/6/22,,SUCRE,COVEÑAS,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
